-450,-450,0,10,467,dot
-360,-450,0,10,467,dot
-270,-450,0,10,467,dot
-180,-450,0,10,467,dot
-90,-450,0,10,467,dot
0,-450,0,10,467,dot
90,-450,0,10,467,dot
180,-450,0,10,467,dot
270,-450,0,10,467,dot
360,-450,0,10,467,dot
-450,-360,0,10,467,dot
-360,-360,0,10,467,dot
-270,-360,0,10,467,dot
-180,-360,0,10,467,dot
-90,-360,0,10,467,dot
0,-360,0,10,467,dot
90,-360,0,10,467,dot
180,-360,0,10,467,dot
270,-360,0,10,467,dot
360,-360,0,10,467,dot
-450,-270,0,10,467,dot
-360,-270,0,10,467,dot
-270,-270,0,10,467,dot
-180,-270,0,10,467,dot
-90,-270,0,10,467,dot
0,-270,0,10,467,dot
90,-270,0,10,467,dot
180,-270,0,10,467,dot
270,-270,0,10,467,dot
360,-270,0,10,467,dot
-450,-180,0,10,467,dot
-360,-180,0,10,467,dot
-270,-180,0,10,467,dot
-180,-180,0,10,467,dot
-90,-180,0,10,467,dot
0,-180,0,10,467,dot
90,-180,0,10,467,dot
180,-180,0,10,467,dot
270,-180,0,10,467,dot
360,-180,0,10,467,dot
-450,-90,0,10,467,dot
-360,-90,0,10,467,dot
-270,-90,0,10,467,dot
-180,-90,0,10,467,dot
-90,-90,0,10,467,dot
0,-90,0,10,467,dot
90,-90,0,10,467,dot
180,-90,0,10,467,dot
270,-90,0,10,467,dot
360,-90,0,10,467,dot
-450,0,0,10,467,dot
-360,0,0,10,467,dot
-270,0,0,10,467,dot
-180,0,0,10,467,dot
-90,0,0,10,467,dot
0,0,0,10,467,dot
90,0,0,10,467,dot
180,0,0,10,467,dot
270,0,0,10,467,dot
360,0,0,10,467,dot
-450,90,0,10,467,dot
-360,90,0,10,467,dot
-270,90,0,10,467,dot
-180,90,0,10,467,dot
-90,90,0,10,467,dot
0,90,0,10,467,dot
90,90,0,10,467,dot
180,90,0,10,467,dot
270,90,0,10,467,dot
360,90,0,10,467,dot
-450,180,0,10,467,dot
-360,180,0,10,467,dot
-270,180,0,10,467,dot
-180,180,0,10,467,dot
-90,180,0,10,467,dot
0,180,0,10,467,dot
90,180,0,10,467,dot
180,180,0,10,467,dot
270,180,0,10,467,dot
360,180,0,10,467,dot
-450,270,0,10,467,dot
-360,270,0,10,467,dot
-270,270,0,10,467,dot
-180,270,0,10,467,dot
-90,270,0,10,467,dot
0,270,0,10,467,dot
90,270,0,10,467,dot
180,270,0,10,467,dot
270,270,0,10,467,dot
360,270,0,10,467,dot
-450,360,0,10,467,dot
-360,360,0,10,467,dot
-270,360,0,10,467,dot
-180,360,0,10,467,dot
-90,360,0,10,467,dot
0,360,0,10,467,dot
90,360,0,10,467,dot
180,360,0,10,467,dot
270,360,0,10,467,dot
360,360,0,10,467,dot
-450,-450,90,10,467,dot
-360,-450,90,10,467,dot
-270,-450,90,10,467,dot
-180,-450,90,10,467,dot
-90,-450,90,10,467,dot
0,-450,90,10,467,dot
90,-450,90,10,467,dot
180,-450,90,10,467,dot
270,-450,90,10,467,dot
360,-450,90,10,467,dot
-450,-360,90,10,467,dot
-360,-360,90,10,467,dot
-270,-360,90,10,467,dot
-180,-360,90,10,467,dot
-90,-360,90,10,467,dot
0,-360,90,10,467,dot
90,-360,90,10,467,dot
180,-360,90,10,467,dot
270,-360,90,10,467,dot
360,-360,90,10,467,dot
-450,-270,90,10,467,dot
-360,-270,90,10,467,dot
-270,-270,90,10,467,dot
-180,-270,90,10,467,dot
-90,-270,90,10,467,dot
0,-270,90,10,467,dot
90,-270,90,10,467,dot
180,-270,90,10,467,dot
270,-270,90,10,467,dot
360,-270,90,10,467,dot
-450,-180,90,10,467,dot
-360,-180,90,10,467,dot
-270,-180,90,10,467,dot
-180,-180,90,10,467,dot
-90,-180,90,10,467,dot
0,-180,90,10,467,dot
90,-180,90,10,467,dot
180,-180,90,10,467,dot
270,-180,90,10,467,dot
360,-180,90,10,467,dot
-450,-90,90,10,467,dot
-360,-90,90,10,467,dot
-270,-90,90,10,467,dot
-180,-90,90,10,467,dot
-90,-90,90,10,467,dot
0,-90,90,10,467,dot
90,-90,90,10,467,dot
180,-90,90,10,467,dot
270,-90,90,10,467,dot
